  Freq(MHz)  	dB re. 1V/uPa	    V/Pa     	V^2cm^2/W    	  
    9.550	       -281.17	       8.742E-009	      1.146E-006
    9.600	       -281.18	       8.730E-009	      1.143E-006
    9.650	       -281.28	       8.635E-009	      1.118E-006
    9.700	       -281.28	       8.629E-009	      1.117E-006
    9.750	       -281.32	       8.586E-009	      1.106E-006
    9.800	       -281.36	       8.547E-009	      1.096E-006
    9.850	       -281.28	       8.626E-009	      1.116E-006
    9.900	       -281.30	       8.610E-009	      1.112E-006
    9.950	       -281.33	       8.582E-009	      1.105E-006
   10.000	       -281.47	       8.441E-009	      1.069E-006
   10.050	       -281.62	       8.300E-009	      1.033E-006
   10.100	       -281.54	       8.371E-009	      1.051E-006
   10.150	       -281.54	       8.378E-009	      1.053E-006
   10.200	       -281.41	       8.503E-009	      1.084E-006
   10.250	       -281.40	       8.514E-009	      1.087E-006
   10.300	       -281.22	       8.687E-009	      1.132E-006
   10.350	       -281.21	       8.702E-009	      1.136E-006
   10.400	       -281.19	       8.719E-009	      1.140E-006
   10.450	       -281.09	       8.821E-009	      1.167E-006
   10.500	       -280.97	       8.938E-009	      1.198E-006
   10.550	       -281.10	       8.812E-009	      1.165E-006
   10.600	       -281.07	       8.840E-009	      1.172E-006
   10.650	       -281.17	       8.737E-009	      1.145E-006
   10.700	       -281.21	       8.703E-009	      1.136E-006
   10.750	       -281.29	       8.624E-009	      1.116E-006
   10.800	       -281.30	       8.613E-009	      1.113E-006
   10.850	       -281.43	       8.480E-009	      1.079E-006
   10.900	       -281.42	       8.488E-009	      1.081E-006
   10.950	       -281.61	       8.306E-009	      1.035E-006
   11.000	       -281.62	       8.301E-009	      1.034E-006
   11.050	       -281.75	       8.178E-009	      1.003E-006
   11.100	       -281.75	       8.176E-009	      1.003E-006
   11.150	       -281.82	       8.112E-009	      9.871E-007
   11.200	       -281.81	       8.119E-009	      9.889E-007
   11.250	       -281.86	       8.076E-009	      9.784E-007
   11.300	       -281.85	       8.084E-009	      9.803E-007
   11.350	       -281.90	       8.039E-009	      9.695E-007
   11.400	       -281.97	       7.971E-009	      9.529E-007
   11.450	       -281.99	       7.954E-009	      9.490E-007
   11.500	       -282.02	       7.929E-009	      9.430E-007
   11.550	       -282.03	       7.918E-009	      9.404E-007
   11.600	       -282.11	       7.841E-009	      9.223E-007
   11.650	       -282.12	       7.838E-009	      9.214E-007
   11.700	       -282.09	       7.859E-009	      9.265E-007
   11.750	       -282.08	       7.872E-009	      9.296E-007
   11.800	       -281.94	       8.001E-009	      9.601E-007
   11.850	       -281.82	       8.110E-009	      9.865E-007
   11.900	       -281.77	       8.160E-009	      9.988E-007
   11.950	       -281.60	       8.316E-009	      1.037E-006
   12.000	       -281.58	       8.339E-009	      1.043E-006
   12.050	       -281.33	       8.577E-009	      1.103E-006
   12.100	       -281.12	       8.792E-009	      1.159E-006
   12.150	       -281.13	       8.785E-009	      1.158E-006
   12.200	       -280.96	       8.949E-009	      1.201E-006
   12.250	       -280.90	       9.014E-009	      1.219E-006
   12.300	       -280.82	       9.094E-009	      1.241E-006
   12.350	       -280.75	       9.171E-009	      1.262E-006
   12.400	       -280.82	       9.101E-009	      1.243E-006
   12.450	       -280.76	       9.163E-009	      1.259E-006
   12.500	       -280.72	       9.202E-009	      1.270E-006
   12.550	       -280.69	       9.232E-009	      1.278E-006
   12.600	       -280.69	       9.236E-009	      1.280E-006
   12.650	       -280.68	       9.252E-009	      1.284E-006
   12.700	       -280.66	       9.269E-009	      1.289E-006
   12.750	       -280.68	       9.243E-009	      1.282E-006
   12.800	       -280.69	       9.237E-009	      1.280E-006
   12.850	       -280.62	       9.308E-009	      1.299E-006
   12.900	       -280.66	       9.273E-009	      1.290E-006
   12.950	       -280.66	       9.271E-009	      1.289E-006
   13.000	       -280.65	       9.274E-009	      1.290E-006
   13.050	       -280.64	       9.289E-009	      1.294E-006
   13.100	       -280.62	       9.311E-009	      1.300E-006
   13.150	       -280.66	       9.265E-009	      1.288E-006
   13.200	       -280.67	       9.259E-009	      1.286E-006
   13.250	       -280.68	       9.246E-009	      1.282E-006
   13.300	       -280.67	       9.262E-009	      1.287E-006
   13.350	       -280.62	       9.308E-009	      1.300E-006
   13.400	       -280.58	       9.354E-009	      1.313E-006
   13.450	       -280.51	       9.432E-009	      1.334E-006
   13.500	       -280.48	       9.465E-009	      1.344E-006
   13.550	       -280.45	       9.493E-009	      1.352E-006
   13.600	       -280.43	       9.519E-009	      1.359E-006
   13.650	       -280.47	       9.477E-009	      1.347E-006
   13.700	       -280.56	       9.372E-009	      1.318E-006
   13.750	       -280.56	       9.372E-009	      1.318E-006
   13.800	       -280.57	       9.369E-009	      1.317E-006
   13.850	       -280.65	       9.276E-009	      1.291E-006
   13.900	       -280.75	       9.177E-009	      1.263E-006
   13.950	       -280.75	       9.171E-009	      1.262E-006
   14.000	       -280.84	       9.080E-009	      1.237E-006
   14.050	       -280.90	       9.015E-009	      1.219E-006
   14.100	       -280.88	       9.035E-009	      1.225E-006
   14.150	       -280.92	       8.994E-009	      1.213E-006
   14.200	       -281.02	       8.890E-009	      1.186E-006
   14.250	       -281.04	       8.874E-009	      1.181E-006
   14.300	       -281.01	       8.901E-009	      1.188E-006
   14.350	       -281.08	       8.836E-009	      1.171E-006
   14.400	       -281.13	       8.778E-009	      1.156E-006
   14.450	       -281.13	       8.778E-009	      1.156E-006
   14.500	       -281.12	       8.791E-009	      1.159E-006
   14.550	       -281.17	       8.739E-009	      1.145E-006
   14.600	       -281.27	       8.639E-009	      1.119E-006
   14.650	       -281.27	       8.641E-009	      1.120E-006
